qid	label	docid	context_only_jaccard	context_only_overlap_bigram	context_only_overlap_tfidf	context_only_query_overlap	context_only_similarity	embedding_similarity	goal_only_jaccard	goal_only_overlap_bigram	goal_only_overlap_tfidf	goal_only_query_overlap	goal_only_similarity	progress_alignment_abs_diff	query_length	query_overlap_ratio	retrieved_text_length	retriever_score	source_aa_lcr	source_aa_omniscience_accuracy	source_aai	source_context_window	source_critpt	source_gdpval_aa	source_gpqa_diamond	source_hle	source_ifbench	source_scicode	source_tau_squared_bench_telecom	source_terminal_bench_hard	state_only_jaccard	state_only_overlap_bigram	state_only_overlap_tfidf	state_only_query_overlap	state_only_similarity	step_index	success_flag	task_match	task_variation_match	text_overlap_bigram	text_overlap_jaccard	text_overlap_tfidf	total_steps	trajectory_length	agent_type__anthropic_claude_opus_4	agent_type__anthropic_claude_opus_4_6	agent_type__anthropic_claude_sonnet_4_6	agent_type__claude_3_5_sonnet	agent_type__deepseek_deepseek_chat_v3_1	agent_type__deepseek_deepseek_r1	agent_type__deepseek_deepseek_r1_0528	agent_type__deepseek_deepseek_v3_2	agent_type__google_gemini_2_5_flash	agent_type__google_gemini_2_5_pro	agent_type__gpt_4_turbo	agent_type__gpt_4_turbo_preview	agent_type__meta_llama_llama_4_maverick	agent_type__minimax_minimax_m1	agent_type__minimax_minimax_m2	agent_type__mistralai_mistral_large_2512	agent_type__openai_gpt_5_4	agent_type__openai_gpt_5_4_nano	agent_type__openai_gpt_oss_120b	agent_type__openai_gpt_oss_20b	agent_type__qwen_qwen3_235b_a22b	agent_type__qwen_qwen3_32b	agent_type__qwen_qwen3_5_flash_02_23	agent_type__qwen_qwen3_max	agent_type__x_ai_grok_3_mini	agent_type__x_ai_grok_4_1_fast	agent_type__x_ai_grok_4_20	agent_type__x_ai_grok_4_fast	agent_type__z_ai_glm_4_5	agent_type__z_ai_glm_5
1	7.0	run_ltr_train_openrouter34_s42_bundle_meta-llama_llama-3.1-8b-instruct_rank_20|||intent_template_id_288|||task_id_14|||4	0.061016949152542375	0.03319502074688797	0.8057130074261167	0.06228373702422145	0.26780635628818944	0.2556203073939923	0.8235294117647058	0.8333333333333334	0.8034898868266582	0.875	0.4174388917200559	4.0	2184.0	0.14098360655737704	165.0	0.07401139289140701	31.0	14.0	21.0	131.0	0.0	3.0	61.0	5.0	58.0	34.0	50.0	5.0	0.0995260663507109	0.06583072100313479	0.8424737007704044	0.10294117647058823	0.25734059846121576	0.0	1.0	1.0	0.0	0.08113207547169811	0.1360759493670886	0.8095798971680507	22.0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2	4.0	run_ltr_train_openrouter34_s42_bundle_meta-llama_llama-3.1-8b-instruct_rank_10|||intent_template_id_288|||task_id_14|||4	0.056291390728476824	0.03048780487804878	0.6442466073609953	0.058823529411764705	0.2750855069036011	0.259555741569702	0.8235294117647058	0.8333333333333334	0.8034898868266582	0.875	0.4174386714485528	5.0	2184.0	0.13114754098360656	167.0	0.07316379994153976	52.0	31.0	19.0	128.0	1.0	0.0	71.0	9.0	39.0	36.0	11.0	6.0	0.08411214953271028	0.055900621118012424	0.5457658415469917	0.08823529411764706	0.26191598471251226	0.0	1.0	1.0	0.0	0.07366482504604052	0.12269938650306748	0.704397954849908	14.0	5.0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	9.0	run_ltr_train_openrouter34_s42_bundle_deepseek_deepseek-r1_rank_20|||intent_template_id_137|||task_id_351|||1	0.07058823529411765	0.042666666666666665	0.47237181263151523	0.07317073170731707	0.3710231665378983	0.3875167317383661	0.125	0.0	0.1769106690157055	0.2222222222222222	0.6350816375473742	2.0	776.0	0.11462450592885376	153.0	0.1427546590566635	59.0	36.0	43.0	1000.0	1.0	48.0	80.0	11.0	42.0	44.0	79.0	42.0	0.09950248756218906	0.07368421052631578	0.33896373601555363	0.10582010582010581	0.3104140608988079	0.0	1.0	0.0	0.0	0.06280193236714976	0.10469314079422383	0.6109023204215825	5.0	3.0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	4.0	run_ltr_train_openrouter34_s42_bundle_deepseek_deepseek-r1_rank_10|||intent_template_id_137|||task_id_351|||1	0.09541984732824428	0.04846938775510204	0.5662767951440824	0.1016260162601626	0.3365162641179237	0.3610030663139228	0.0	0.0	0.0	0.0	0.694146163903806	14.0	776.0	0.1541501976284585	175.0	0.1378539800643921	62.0	25.0	21.0	1000.0	1.0	10.0	79.0	11.0	50.0	39.0	32.0	14.0	0.07960199004975124	0.04861111111111111	0.3544985927138092	0.08465608465608465	0.3970822090099193	0.0	1.0	0.0	0.0	0.06415929203539823	0.13175675675675674	0.5833364671426039	29.0	5.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	3.0	run_ltr_train_openrouter34_s42_bundle_deepseek_deepseek-r1_rank_5|||intent_template_id_249|||task_id_216|||12	0.05647840531561462	0.029940119760479042	0.5173218345342292	0.05802047781569966	0.30357592945499806	0.27900330096899806	0.625	0.625	0.6605912323852328	0.7692307692307693	0.47356153850046007	2.0	1759.0	0.12333333333333334	173.0	0.07108528167009354	0.0	17.0	15.0	33.0	0.0	0.0	67.0	8.0	36.0	35.0	30.0	3.0	0.1125	0.07346938775510205	0.418827037973143	0.12	0.25922601757188557	0.0	1.0	1.0	0.0	0.06542056074766354	0.11708860759493671	0.5806187434571773	15.0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
8	6.0	run_ltr_train_openrouter34_s42_bundle_deepseek_deepseek-r1_rank_20|||intent_template_id_249|||task_id_216|||12	0.0641025641025641	0.02862595419847328	0.42472311176907074	0.06825938566552901	0.35336277887572204	0.31665101664216155	0.625	0.625	0.6605912323852328	0.7692307692307693	0.47356153850046007	6.0	1759.0	0.13333333333333333	103.0	0.09434972703456879	0.0	17.0	15.0	33.0	0.0	0.0	67.0	8.0	36.0	35.0	30.0	3.0	0.11042944785276074	0.05905511811023622	0.36443811412392596	0.12	0.4014542684386026	0.0	1.0	1.0	0.0	0.0636042402826855	0.12158054711246201	0.4954884755455773	8.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
9	6.0	run_ltr_train_openrouter34_s42_bundle_deepseek_deepseek-r1_rank_1|||intent_template_id_310|||task_id_177|||2	0.04666666666666667	0.0215311004784689	0.5534311367151904	0.04751131221719457	0.3570327081982215	0.26937132791952695	0.85	0.75	0.8285502742340793	0.8947368421052632	0.2924351132278951	3.0	2366.0	0.10864745011086474	83.0	0.06611914187669754	0.0	17.0	15.0	33.0	0.0	0.0	67.0	8.0	36.0	35.0	30.0	3.0	0.1004566210045662	0.058823529411764705	0.5780946381602092	0.10576923076923077	0.29436158611754354	0.0	1.0	1.0	0.0	0.055872291904218926	0.10425531914893617	0.7189647350443222	5.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
10	3.0	run_ltr_train_openrouter34_s42_bundle_deepseek_deepseek-r1_rank_20|||intent_template_id_310|||task_id_177|||2	0.05088495575221239	0.02619047619047619	0.6484421853766197	0.05203619909502263	0.33777847879940986	0.3181400038537702	0.8095238095238095	0.7142857142857143	0.8017859612924554	0.8947368421052632	0.2833930472383454	2.0	2366.0	0.11086474501108648	58.0	0.09017863124608994	48.0	25.0	26.0	128.0	0.0	0.0	78.0	12.0	44.0	35.0	43.0	22.0	0.09009009009009009	0.03937007874015748	0.38899170304483255	0.09615384615384616	0.42389615276346276	0.0	1.0	1.0	0.0	0.05399325084364454	0.10526315789473684	0.6489053066376007	3.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
11	6.0	run_ltr_train_openrouter34_s42_bundle_deepseek_deepseek-r1_rank_5|||intent_template_id_310|||task_id_177|||2	0.06521739130434782	0.030821917808219176	0.6242031397127967	0.06666666666666667	0.37537496744738885	0.2831327938404364	0.8095238095238095	0.7142857142857143	0.8017859612924554	0.8947368421052632	0.2833930485644836	2.0	2144.0	0.14814814814814814	176.0	0.07234351336956024	48.0	25.0	26.0	128.0	0.0	0.0	78.0	12.0	44.0	35.0	43.0	22.0	0.0881057268722467	0.046511627906976744	0.6109525339040295	0.09345794392523364	0.34414245100792545	0.0	1.0	1.0	0.0	0.07142857142857142	0.13953488372093023	0.750286044549073	8.0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
13	6.0	run_ltr_train_openrouter34_s42_bundle_deepseek_deepseek-r1_rank_1|||intent_template_id_328|||task_id_662|||4	0.07547169811320754	0.027426160337552744	0.48760011471054965	0.07905138339920949	0.3914410935665945	0.40938428585219133	0.13333333333333333	0.0	0.10933775335612966	0.25	0.6387244131910496	3.0	1303.0	0.1482889733840304	166.0	0.17870815098285675	50.0	15.0	32.0	1000.0	1.0	0.0	79.0	11.0	46.0	41.0	90.0	17.0	0.16260162601626016	0.08121827411167512	0.5004355535681169	0.18181818181818182	0.37274001819443814	0.0	1.0	0.0	0.0	0.04672897196261682	0.13220338983050847	0.6515640670775705	9.0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
