Model	AAI	GDPval-AA	Terminal-Bench-Hard	tau-squared-bench-telecom	AA-LCR	AA-Omniscience-accuracy	HLE	GPQA-Diamond	SciCode	IFBench	CritPt	context-window
openai/gpt-oss-20b	21	3	5	50	31	14	5	61	34	58	0	131
openai/gpt-oss-120b	24	17	5	45	44	16	5	67	36	58	0	131
openai/gpt-5.4-nano	38	36	33	53	57	21	15	76	38	64	5	400
openai/gpt-5.4	35	42	38	35	47	37	11	75	47	48	1	1000
anthropic/claude-3-haiku	12	0	1	21	21	17	4	37	19	36	0	200
anthropic/claude-sonnet-4.6	43	48	42	79	59	36	11	80	44	42	1	1000
anthropic/claude-opus-4	43	46	41	86	65	41	13	81	47	43	0	200
anthropic/claude-opus-4.6	46	54	49	85	58	45	19	84	46	45	3	1000
google/gemini-2.5-flash-lite	13	0	2	19	31	15	4	47	18	32	0	1000
google/gemini-2.5-flash	21	10	14	32	62	25	11	79	39	50	1	1000
google/gemini-2.5-pro	35	21	27	54	66	39	21	84	43	49	3	1000
google/gemma-4-31b-it	32	26	30	66	36	17	12	76	41	54	0	256
meta-llama/llama-3.1-8b-instruct	12	0	1	16	16	8	5	26	13	29	0	128
meta-llama/llama-3.2-3b-instruct	10	0	0	21	2	8	5	26	5	26	0	128
meta-llama/llama-3.3-70b-instruct	14	0	3	27	15	18	4	50	26	47	0	128
meta-llama/llama-4-maverick	18	0	7	18	46	24	5	67	33	43	0	1000
deepseek/deepseek-r1	19	0	6	11	52	31	9	71	36	39	1	128
deepseek/deepseek-r1-0528	27	9	16	37	55	31	15	81	40	40	1	128
deepseek/deepseek-chat-v3.1	28	29	24	35	45	23	6	74	37	38	0	128
deepseek/deepseek-v3.2	32	19	33	79	39	24	11	75	39	49	1	128
qwen/qwen3-32b	15	0	3	30	0	17	8	67	35	36	0	33
qwen/qwen3-235b-a22b	17	13	6	24	0	18	12	70	40	39	0	33
qwen/qwen3-max	40	32	24	84	66	30	26	86	43	71	2	256
qwen/qwen3.5-flash-02-23	26	20	8	85	44	14	7	74	26	38	0	1000
x-ai/grok-3-mini	32	0	17	90	50	15	11	79	41	46	1	1000
x-ai/grok-4-fast	23	14	12	64	20	16	5	61	33	38	0	2000
x-ai/grok-4.1-fast	24	14	14	64	22	17	5	64	30	37	0	2000
x-ai/grok-4.20	30	21	22	70	18	26	23	79	32	48	0	2000
z-ai/glm-4.5	26	0	22	43	48	25	12	78	35	44	0	128
z-ai/glm-5	41	41	39	97	37	23	7	67	38	55	0	200
minimax/minimax-m1	24	25	3	34	54	21	8	70	37	42	0	1000
minimax/minimax-m2	36	27	26	87	61	22	13	78	36	72	1	205
mistralai/ministral-14b-2512	16	8	5	27	22	12	5	57	24	32	0	256
mistralai/mistral-large-2512	23	18	16	25	35	24	4	68	36	36	0	256
